#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	2586479	2467436	95.40	2965	0.11	798	0.03	11585	0.45	103695	4.01
Ecoli	2586479	2586478	100.00	0	0.00	0	0.00	0	0.00	1	0.00
PhiX	2586479	2586479	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	2586479	2586448	100.00	0	0.00	0	0.00	2	0.00	29	0.00
Vectors	2586479	2572422	99.46	7	0.00	0	0.00	1015	0.04	13035	0.50
Bacteria_24k	2586479	2519893	97.43	449	0.02	496	0.02	6320	0.24	59321	2.29
Protists_1k	2586479	2417557	93.46	11579	0.45	25226	0.98	4423	0.17	127694	4.94
Viruses	2586479	2526473	97.69	94	0.00	32	0.00	5702	0.22	54178	2.09
Fungi_RefSeq_release	2586479	2465152	95.31	2330	0.09	767	0.03	12170	0.47	106060	4.10
Coral	2586479	2510044	97.04	421	0.02	85	0.00	9720	0.38	66209	2.56
Bird	2586479	2490588	96.28	1710	0.07	437	0.02	12051	0.47	81693	3.16
Plant	2586479	2512958	97.16	430	0.02	105	0.00	8480	0.33	64506	2.49

%Hit_no_genomes: 92.81
