#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	2271261	2193538	96.57	2061	0.09	593	0.03	8114	0.36	66955	2.95
Ecoli	2271261	2271260	100.00	0	0.00	0	0.00	0	0.00	1	0.00
PhiX	2271261	2271261	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	2271261	2271188	100.00	0	0.00	0	0.00	14	0.00	59	0.00
Vectors	2271261	2264370	99.70	2	0.00	0	0.00	427	0.02	6462	0.28
Bacteria_24k	2271261	2230142	98.18	420	0.02	575	0.03	4298	0.19	35826	1.58
Protists_1k	2271261	2156043	94.92	8381	0.37	18772	0.83	2975	0.13	85090	3.75
Viruses	2271261	2235595	98.43	60	0.00	20	0.00	3664	0.16	31922	1.41
Fungi_RefSeq_release	2271261	2191656	96.49	1517	0.07	540	0.02	8531	0.38	69017	3.04
Coral	2271261	2223705	97.92	275	0.01	68	0.00	6462	0.28	40751	1.79
Bird	2271261	2210438	97.32	1204	0.05	375	0.02	8119	0.36	51125	2.25
Plant	2271261	2225578	97.99	277	0.01	73	0.00	5853	0.26	39480	1.74

%Hit_no_genomes: 94.44
