#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	104586	99942	95.56	90	0.09	20	0.02	329	0.31	4205	4.02
Ecoli	104586	104580	100.00	0	0.00	0	0.00	2	0.00	4	0.00
PhiX	104586	104586	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	104586	104584	100.00	0	0.00	0	0.00	0	0.00	2	0.00
Vectors	104586	104135	99.57	0	0.00	0	0.00	11	0.01	440	0.42
Bacteria_24k	104586	99560	95.20	775	0.74	795	0.76	317	0.30	3139	3.00
Protists_1k	104586	97621	93.33	439	0.42	843	0.81	425	0.41	5258	5.03
Viruses	104586	102038	97.57	2	0.00	5	0.00	211	0.20	2330	2.23
Fungi_RefSeq_release	104586	99784	95.40	63	0.06	18	0.02	373	0.36	4348	4.16
Coral	104586	101313	96.87	12	0.01	0	0.00	333	0.32	2928	2.80
Bird	104586	100624	96.21	36	0.03	20	0.02	445	0.43	3461	3.31
Plant	104586	101652	97.20	11	0.01	5	0.00	269	0.26	2649	2.53

%Hit_no_genomes: 91.43
