Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
Sor-CPnd_001-Ex1-3E-lcwgs-1-3.clmp.r1r2_fastp	55.45870000000001	38.0981	37.3939	36.8639	37.8251	34.1432	34.6278	36.6954	37.7665	36.2791	40.935500000000005	40.3417	39.9674	39.3481	39.212	38.7069	39.2159	38.8729	39.231100000000005	39.1292	39.4644	39.0334	39.2175	38.6651	38.889	38.6612	38.639	38.4913	38.8989	38.5607	39.0789	38.9208	39.047	38.7448	38.9836	38.6549	38.815	38.5457	38.6964	38.527499999999996	39.0041	38.5528	38.8928	38.6985	38.671	38.500299999999996	38.6671	38.404700000000005	38.6127	38.5378	38.6493	38.5739	38.8023	38.5426	38.669799999999995	38.6171	38.7151	38.4219	38.7349	38.3889	38.7704	38.596000000000004	38.5542	38.5415	38.7128	38.4308	38.6416	38.519	38.5882	38.3527	38.7266	38.4725	38.7475	38.6005	38.5736	38.5145	38.6743	38.4027	38.690999999999995	38.5	38.7022	38.5719	38.6774	38.4998	38.6314	38.5661	38.5965	38.3656	38.6875	38.460499999999996	38.676500000000004	38.6592	38.7007	38.5842	38.7096	38.5036	38.6318	38.4927	38.5665	38.4639	38.719500000000004	38.4463	38.6218	38.6648	38.617200000000004	38.5976	38.6099	38.390299999999996	38.6261	38.43	38.5905	38.5342	38.7084	38.5455	38.709700000000005	38.6323	38.6546	38.4352	38.6327	38.3541	38.5987	38.5441	38.6	38.585300000000004	38.7679	38.5507	38.699099999999994	38.5099	38.6117	38.384299999999996	38.6528	38.4526	38.7019	38.674	38.6629	38.6863	38.803399999999996	38.535199999999996	38.7799	38.6649	38.778800000000004	38.7899	38.883	38.8427	39.0007	38.948	38.9013	38.8487	38.897	38.4671
Sor-CPnd_002-Ex1-5E-lcwgs-1-3.clmp.r1r2_fastp	55.168099999999995	40.2235	38.2411	37.7324	38.6662	35.274499999999996	35.9247	38.2874	39.135999999999996	37.3313	41.911500000000004	41.231899999999996	40.7841	40.1688	40.08	39.5837	40.083200000000005	39.650999999999996	40.1388	39.9558	40.2175	39.8146	40.071200000000005	39.4895	39.804899999999996	39.6128	39.642300000000006	39.3949	39.839999999999996	39.472	39.9262	39.8187	39.9025	39.5606	39.889799999999994	39.482800000000005	39.6741	39.4193	39.550999999999995	39.3746	39.8279	39.3202	39.6467	39.5105	39.530300000000004	39.2434	39.5221	39.1886	39.4555	39.299099999999996	39.4592	39.3023	39.5784	39.250600000000006	39.4655	39.353500000000004	39.474900000000005	39.141999999999996	39.509499999999996	39.1208	39.4884	39.3374	39.2896	39.2886	39.533	39.1661	39.400800000000004	39.3084	39.3614	39.129799999999996	39.5034	39.1944	39.4703	39.2922	39.334799999999994	39.273599999999995	39.446999999999996	39.1252	39.4256	39.2549	39.4588	39.2486	39.4204	39.2147	39.3703	39.3093	39.3722	39.1039	39.4329	39.1837	39.3813	39.360299999999995	39.391999999999996	39.2607	39.4042	39.204899999999995	39.4033	39.2465	39.2759	39.1745	39.4696	39.2123	39.330799999999996	39.367999999999995	39.3241	39.230900000000005	39.373200000000004	39.1582	39.3767	39.160000000000004	39.2327	39.198699999999995	39.4113	39.318799999999996	39.387499999999996	39.3859	39.3633	39.1881	39.3356	39.1329	39.3264	39.2299	39.2958	39.3125	39.4762	39.2483	39.3161	39.2359	39.3153	39.1154	39.4467	39.1843	39.3579	39.297399999999996	39.344	39.4328	39.514500000000005	39.278200000000005	39.462599999999995	39.3038	39.51	39.5075	39.6354	39.5168	39.656200000000005	39.6995	39.507	39.5196	39.6038	39.138600000000004
Sor-CPnd_003-Ex1-2B-lcwgs-1-3.clmp.r1r2_fastp	56.2548	39.0506	38.8023	37.379	38.4169	35.3673	36.1177	38.069199999999995	39.0939	37.0621	42.0211	41.514	40.9607	40.326299999999996	40.2187	39.632600000000004	40.1794	39.7723	40.1972	40.091100000000004	40.3378	39.8505	40.1192	39.5185	39.7592	39.4895	39.553399999999996	39.3784	39.7981	39.4548	39.9446	39.7466	39.9387	39.574799999999996	39.8523	39.4683	39.664899999999996	39.378299999999996	39.5873	39.352599999999995	39.8591	39.3698	39.7439	39.5265	39.542699999999996	39.3266	39.523599999999995	39.270300000000006	39.4919	39.4142	39.5233	39.3829	39.6814	39.3303	39.5987	39.456	39.6013	39.251000000000005	39.5912	39.2573	39.597500000000004	39.4831	39.433800000000005	39.3758	39.5931	39.3194	39.5231	39.4387	39.4683	39.2547	39.6045	39.3707	39.6252	39.4373	39.503899999999994	39.4508	39.5658	39.312999999999995	39.5511	39.358	39.604800000000004	39.3906	39.6059	39.3974	39.5379	39.4546	39.4917	39.2276	39.6341	39.3508	39.5505	39.5417	39.5905	39.5031	39.6294	39.3674	39.5919	39.4032	39.4985	39.367999999999995	39.637899999999995	39.3421	39.617200000000004	39.5781	39.5582	39.4506	39.5967	39.320100000000004	39.5641	39.3502	39.5316	39.387499999999996	39.6417	39.5021	39.6254	39.5882	39.590599999999995	39.3707	39.590599999999995	39.2962	39.6072	39.4214	39.5343	39.508500000000005	39.7345	39.455	39.623000000000005	39.446999999999996	39.5646	39.3438	39.6061	39.420100000000005	39.6092	39.5766	39.5865	39.6183	39.727000000000004	39.4226	39.6798	39.568599999999996	39.704499999999996	39.5932	39.8222	39.6978	39.887299999999996	39.8518	39.760400000000004	39.6682	39.7564	39.3048
Sor-CPnd_004-Ex1-1G-lcwgs-1-3.clmp.r1r2_fastp	54.5582	39.574	37.5403	36.8254	38.3896	35.9814	35.8843	37.5114	38.3294	36.641600000000004	41.1088	40.4681	40.1194	39.5803	39.466499999999996	38.9627	39.5219	39.0824	39.509899999999995	39.4038	39.6211	39.1813	39.475	38.9175	39.1586	38.9304	38.9524	38.6967	39.177499999999995	38.7782	39.2188	39.0981	39.2324	38.9389	39.231	38.8469	39.0379	38.7963	38.934999999999995	38.7328	39.2376	38.709199999999996	39.0605	38.8972	38.9127	38.7014	38.9523	38.6106	38.8702	38.709900000000005	38.8821	38.7335	39.0339	38.7202	38.9388	38.827	38.915499999999994	38.6156	38.9712	38.575700000000005	38.927	38.824	38.806000000000004	38.726	38.988099999999996	38.658	38.873400000000004	38.715500000000006	38.852399999999996	38.5708	38.9345	38.6883	38.9247	38.8044	38.7849	38.7825	38.9388	38.6214	38.940999999999995	38.7682	38.9239	38.717600000000004	38.9668	38.7111	38.9322	38.8227	38.86	38.569900000000004	38.9743	38.6995	38.8952	38.8882	38.9033	38.858	38.9819	38.7569	38.9596	38.7862	38.8149	38.738299999999995	38.9842	38.7137	38.8763	38.9775	38.8515	38.827600000000004	38.967600000000004	38.7616	38.9022	38.8077	38.8844	38.799299999999995	38.9645	38.8608	38.9789	38.9305	38.9835	38.785	38.9567	38.746700000000004	38.9148	38.8971	38.9371	38.9298	39.0708	38.8801	39.0115	38.8623	38.9858	38.8007	39.0535	38.8283	39.0162	39.0252	38.9747	39.1028	39.1682	38.931	39.1005	39.0897	39.2097	39.1252	39.3371	39.2082	39.4077	39.3762	39.2432	39.2262	39.339800000000004	38.8658
Sor-CPnd_005-Ex1-3D-lcwgs-1-3.clmp.r1r2_fastp	55.68959999999999	38.4499	38.3145	37.276199999999996	38.3075	34.8895	35.7783	37.1517	38.096799999999995	36.5566	41.131499999999996	40.6052	40.2375	39.7062	39.5573	39.0799	39.6765	39.3217	39.649	39.624500000000005	39.7842	39.413399999999996	39.5912	39.0467	39.2397	38.9623	39.0107	38.8144	39.1706	38.8762	39.3245	39.1873	39.3081	39.0726	39.286500000000004	38.9446	39.1285	38.9423	39.0146	38.8506	39.347300000000004	38.9237	39.2171	39.0369	39.0762	38.8893	39.0635	38.7637	39.0526	38.926100000000005	39.0084	38.9315	39.155699999999996	38.8913	39.1068	39.0221	39.1039	38.7824	39.118900000000004	38.7733	39.1132	39.0537	38.9748	38.916000000000004	39.161699999999996	38.830999999999996	39.0546	38.9297	38.953199999999995	38.82	39.077600000000004	38.9361	39.1476	39.0169	39.0601	38.938	39.1054	38.8715	39.0852	38.9356	39.1226	38.9561	39.1685	38.971000000000004	39.118	39.0208	39.0388	38.819900000000004	39.1796	38.868399999999994	39.1629	39.133	39.1102	39.0072	39.1741	39.0568	39.091	39.053	39.0513	38.9671	39.183800000000005	38.9917	39.1291	39.157199999999996	39.0725	39.0608	39.1229	38.9591	39.143	38.9776	39.1015	39.031	39.2502	39.0918	39.2574	39.2033	39.181	38.976699999999994	39.2514	38.894	39.1826	39.0621	39.1631	39.1673	39.2058	39.113	39.250099999999996	39.1503	39.2005	39.048500000000004	39.209500000000006	39.1162	39.265899999999995	39.2632	39.2429	39.305299999999995	39.377	39.244099999999996	39.378299999999996	39.21	39.431	39.308	39.5687	39.4812	39.546	39.550000000000004	39.5432	39.3765	39.5749	39.135799999999996
Sor-CPnd_006-Ex1-2D-lcwgs-1-3.clmp.r1r2_fastp	55.1643	39.2361	37.8813	36.9977	38.2498	34.9556	35.8404	37.7037	38.6173	36.6967	41.4198	40.8573	40.397800000000004	39.7848	39.6547	39.1445	39.6417	39.2395	39.609100000000005	39.5434	39.757999999999996	39.2917	39.561	39.0175	39.240700000000004	38.9979	39.0749	38.8232	39.2525	38.9262	39.3461	39.229	39.352399999999996	39.0642	39.3134	38.9558	39.1186	38.8616	39.0527	38.8339	39.3085	38.850699999999996	39.1621	38.9697	38.9612	38.7825	38.9789	38.6913	38.9239	38.8121	38.9638	38.8195	39.0603	38.7768	38.9827	38.8683	38.9911	38.673	38.9912	38.6849	38.9722	38.926899999999996	38.8459	38.792500000000004	38.9822	38.7408	38.9107	38.8135	38.852	38.6801	38.9783	38.7577	38.9857	38.8774	38.8778	38.8184	38.9612	38.6987	38.9239	38.7999	38.9953	38.808	38.9681	38.800000000000004	38.9325	38.8756	38.8888	38.67	38.9774	38.730399999999996	38.9028	38.927	38.9276	38.859300000000005	39.007999999999996	38.8204	38.920100000000005	38.8291	38.8383	38.7152	38.974599999999995	38.8125	38.8961	38.9818	38.93	38.847	39.002900000000004	38.7583	38.9279	38.7973	38.9429	38.8425	39.0135	38.8633	39.03	38.9759	38.973	38.794200000000004	38.9998	38.749	38.9559	38.8471	38.9349	38.9504	39.1063	38.8921	38.9957	38.9431	38.982	38.8179	39.027499999999996	38.8724	38.9985	38.9979	39.0629	39.0984	39.1357	38.9935	39.1687	39.0722	39.2076	39.1743	39.3115	39.2385	39.4097	39.3491	39.285599999999995	39.2199	39.3266	38.8376
Sor-CPnd_007-Ex1-1C-lcwgs-1-3.clmp.r1r2_fastp	57.138	40.0831	39.5415	38.2001	39.4868	37.149300000000004	36.7736	38.9436	40.0734	37.7805	42.9627	42.5959	42.1139	41.4044	41.2694	40.6613	41.2217	40.760600000000004	41.2744	41.1838	41.2783	40.9308	41.1571	40.542	40.8633	40.562599999999996	40.6407	40.3938	40.8511	40.4736	41.0482	40.789500000000004	40.9968	40.640100000000004	40.9254	40.4959	40.778	40.455400000000004	40.6156	40.4026	40.915400000000005	40.3573	40.8248	40.5608	40.6228	40.3333	40.6818	40.2515	40.578199999999995	40.421	40.5708	40.3971	40.726600000000005	40.3545	40.6009	40.4201	40.6323	40.2848	40.6038	40.213300000000004	40.6167	40.4891	40.4411	40.3445	40.653099999999995	40.2579	40.4686	40.427800000000005	40.462199999999996	40.2294	40.626200000000004	40.3323	40.596700000000006	40.4183	40.4476	40.389399999999995	40.543600000000005	40.2761	40.5459	40.3638	40.5336	40.355000000000004	40.5505	40.3158	40.5559	40.3833	40.4916	40.2324	40.6207	40.1939	40.5792	40.5101	40.5211	40.3242	40.5482	40.2824	40.4613	40.3341	40.4013	40.2824	40.5261	40.249	40.496700000000004	40.5148	40.4332	40.3443	40.5262	40.2709	40.4895	40.2699	40.422799999999995	40.2837	40.5553	40.423700000000004	40.6078	40.4979	40.5512	40.2455	40.5329	40.2733	40.4645	40.334199999999996	40.3691	40.4909	40.6232	40.3773	40.5017	40.367999999999995	40.5055	40.1875	40.5581	40.3166	40.5453	40.399	40.539199999999994	40.5463	40.598800000000004	40.305400000000006	40.712399999999995	40.451	40.5537	40.438	40.7594	40.6431	40.787600000000005	40.6634	40.701100000000004	40.5745	40.657700000000006	40.3484
Sor-CPnd_008-Ex1-1A-lcwgs-1-3.clmp.r1r2_fastp	57.1002	37.1159	39.527	37.3495	37.8327	34.470099999999995	34.8867	37.3406	38.6644	36.1301	41.8767	41.7382	41.066900000000004	40.2866	40.1835	39.5578	40.0137	39.6777	39.9939	39.8595	40.1724	39.6928	39.884100000000004	39.3252	39.5503	39.1928	39.2909	39.1537	39.5513	39.2635	39.705400000000004	39.566	39.794200000000004	39.4712	39.6762	39.393899999999995	39.5297	39.2185	39.4666	39.247	39.7602	39.3326	39.7016	39.45	39.5281	39.3042	39.509100000000004	39.2211	39.4836	39.346399999999996	39.550000000000004	39.4088	39.699600000000004	39.427099999999996	39.5996	39.4569	39.6054	39.3166	39.658100000000005	39.3081	39.656200000000005	39.4714	39.528600000000004	39.4602	39.6623	39.339600000000004	39.6105	39.448299999999996	39.5606	39.2915	39.6947	39.4212	39.6665	39.475100000000005	39.5809	39.4649	39.6156	39.3367	39.6149	39.4131	39.6652	39.4599	39.6519	39.427099999999996	39.6596	39.4677	39.5399	39.3093	39.6858	39.334	39.6352	39.567600000000006	39.6472	39.5321	39.6674	39.4457	39.626	39.429700000000004	39.5685	39.3776	39.699400000000004	39.4202	39.6549	39.5914	39.6102	39.495799999999996	39.6468	39.3794	39.5972	39.397999999999996	39.5899	39.4188	39.7368	39.543299999999995	39.6845	39.609100000000005	39.6044	39.4184	39.635	39.3313	39.576299999999996	39.4509	39.633	39.5374	39.7266	39.5012	39.6689	39.4797	39.6429	39.364900000000006	39.6419	39.4123	39.6673	39.5931	39.6673	39.6571	39.7813	39.5309	39.738299999999995	39.5948	39.7586	39.6397	39.8688	39.7435	39.9649	39.8681	39.8225	39.744	39.8903	39.3785
Sor-CPnd_009-Ex1-6A-lcwgs-1-3.clmp.r1r2_fastp	55.14639999999999	38.7604	37.864799999999995	37.058	38.0505	34.788599999999995	35.1156	37.7384	38.8707	36.5474	41.6984	41.424499999999995	40.7755	40.1276	39.942899999999995	39.3793	39.8788	39.4582	39.8624	39.7948	40.0501	39.5958	39.8476	39.2485	39.4944	39.2203	39.3048	39.094	39.5623	39.2053	39.650999999999996	39.4912	39.6784	39.348499999999994	39.6045	39.2348	39.4097	39.1606	39.3433	39.1339	39.628099999999996	39.1524	39.5257	39.3355	39.3341	39.114	39.338899999999995	39.0556	39.2839	39.165299999999995	39.323	39.1628	39.459300000000006	39.137100000000004	39.350699999999996	39.2598	39.333400000000005	39.0317	39.3579	39.0305	39.3872	39.2633	39.2447	39.1827	39.402	39.0737	39.307900000000004	39.2067	39.2596	39.0595	39.4061	39.1795	39.397	39.257	39.2962	39.183099999999996	39.353300000000004	39.102199999999996	39.3712	39.1654	39.4322	39.1764	39.3797	39.1824	39.3924	39.2755	39.2943	39.0382	39.448100000000004	39.1436	39.372800000000005	39.3598	39.417	39.326499999999996	39.4451	39.2279	39.411699999999996	39.2267	39.324999999999996	39.1708	39.4558	39.2314	39.3888	39.4285	39.3746	39.3043	39.432	39.2036	39.3973	39.1976	39.3767	39.2779	39.533	39.3458	39.5467	39.4467	39.4603	39.2431	39.5154	39.231100000000005	39.420899999999996	39.3026	39.4562	39.4294	39.5823	39.3892	39.5232	39.3952	39.544200000000004	39.2734	39.5583	39.3426	39.5436	39.4668	39.535199999999996	39.576299999999996	39.6675	39.4696	39.6471	39.514700000000005	39.7014	39.5689	39.801199999999994	39.641999999999996	39.9189	39.833200000000005	39.7541	39.6854	39.8352	39.3556
Sor-CPnd_010-Ex1-1H-lcwgs-1-3.clmp.r1r2_fastp	55.5304	38.4955	37.6622	36.8217	38.3763	34.9097	35.5469	37.4302	38.3289	36.318	41.3644	40.7468	40.3108	39.739799999999995	39.4551	39.009	39.5805	39.0918	39.4339	39.3866	39.5999	39.2226	39.4308	38.9375	39.1712	38.832699999999996	38.8772	38.716499999999996	38.9995	38.74	39.2007	39.0309	39.230399999999996	38.900600000000004	39.1877	38.7614	39.022400000000005	38.7181	38.8837	38.681599999999996	39.1545	38.689	39.054	38.8674	38.9157	38.7835	38.9529	38.6692	38.8778	38.794000000000004	38.826	38.7407	39.1032	38.7399	38.934200000000004	38.8026	39.0169	38.6863	38.9105	38.6368	38.9666	38.7652	38.7712	38.786500000000004	39.030100000000004	38.6486	39.001999999999995	38.7279	38.7447	38.6751	38.9874	38.6848	38.987500000000004	38.7931	38.817800000000005	38.7627	39.050200000000004	38.6305	38.898500000000006	38.778400000000005	39.015499999999996	38.663199999999996	38.9239	38.7245	38.8982	38.8631	38.8837	38.5694	38.902	38.670100000000005	38.8431	38.7862	38.8745	38.828	38.9123	38.7602	38.8471	38.7478	38.8813	38.5727	38.9104	38.6276	38.854699999999994	38.8832	38.8716	38.8094	38.8607	38.7592	38.8418	38.72	38.804100000000005	38.8084	38.887899999999995	38.8296	39.0086	38.8307	38.8712	38.7138	38.8786	38.732499999999995	38.8504	38.716	38.909	38.7816	39.043499999999995	38.7057	38.9247	38.6605	38.9343	38.6795	38.884299999999996	38.7484	38.8767	38.902300000000004	38.9315	39.0032	38.9944	38.7391	39.2602	38.820100000000004	39.0919	39.0633	39.256	39.0543	39.2017	39.146300000000004	39.136700000000005	39.07	39.3159	38.715500000000006
