#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	11642121	11272027	96.82	12395	0.11	3357	0.03	43147	0.37	311195	2.67
Ecoli	11642121	11642115	100.00	0	0.00	0	0.00	1	0.00	5	0.00
PhiX	11642121	11642121	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	11642121	11642108	100.00	0	0.00	0	0.00	0	0.00	13	0.00
Vectors	11642121	11607025	99.69	18	0.00	4	0.00	3050	0.03	32024	0.28
Bacteria_24k	11642121	11442761	98.29	2629	0.02	2346	0.02	21846	0.19	172539	1.48
Protists_1k	11642121	11095730	95.30	47530	0.41	87025	0.75	18521	0.16	393315	3.38
Viruses	11642121	11473991	98.56	326	0.00	147	0.00	18596	0.16	149061	1.28
Fungi_RefSeq_release	11642121	11265119	96.77	9783	0.08	2673	0.02	45430	0.39	319116	2.74
Coral	11642121	11408596	97.99	1899	0.02	387	0.00	33493	0.29	197746	1.70
Bird	11642121	11348008	97.47	7252	0.06	1968	0.02	41455	0.36	243438	2.09
Plant	11642121	11424912	98.13	1919	0.02	345	0.00	29878	0.26	185067	1.59

%Hit_no_genomes: 94.72
