#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	3446902	3311899	96.08	3320	0.10	784	0.02	10286	0.30	120613	3.50
Ecoli	3446902	3446790	100.00	0	0.00	0	0.00	21	0.00	91	0.00
PhiX	3446902	3446902	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	3446902	3446874	100.00	0	0.00	0	0.00	4	0.00	24	0.00
Vectors	3446902	3437739	99.74	2	0.00	0	0.00	421	0.01	8740	0.25
Bacteria_24k	3446902	3263568	94.68	33707	0.98	36899	1.07	9512	0.28	103216	2.99
Protists_1k	3446902	3226178	93.60	14849	0.43	27538	0.80	18341	0.53	159996	4.64
Viruses	3446902	3374744	97.91	95	0.00	40	0.00	5747	0.17	66276	1.92
Fungi_RefSeq_release	3446902	3306199	95.91	2021	0.06	627	0.02	12288	0.36	125767	3.65
Coral	3446902	3352234	97.26	309	0.01	70	0.00	9684	0.28	84605	2.45
Bird	3446902	3333949	96.72	1205	0.03	524	0.02	11721	0.34	99503	2.89
Plant	3446902	3366066	97.66	301	0.01	61	0.00	6885	0.20	73589	2.13

%Hit_no_genomes: 91.18
